,NCESID,StudentTestID,StudentLocalID,StudentGradeLevel,TestDate,TestName,TestTypeName,TestSubjectName,TestGradeLevel,Score1Label,Score1Type,Score1Value,Score2Label,Score2Type,Score2Value,Score3Label,Score3Type,Score3Value
5520,373737,1100868,,10,May 1,MCAS,MCAS Math,Math,10,Performance Level,Level,3 - NI,Scaled Score,Scale,222.0,CPI,Scale,50.0
5521,373737,1100868,,10,June 1,MCAS,MCAS Science,Science,10,Performance Level,Level,3 - NI,Scaled Score,Scale,238.0,CPI,Scale,75.0
5522,373737,1532117,,10,April 1,MCAS,MCAS ELA,ELA,10,Performance Level,Level,5 - A,Scaled Score,Scale,262.0,CPI,Scale,100.0
5523,373737,1532117,,10,May 1,MCAS,MCAS Math,Math,10,Performance Level,Level,5 - A,Scaled Score,Scale,260.0,CPI,Scale,100.0
5524,373737,1532117,,10,June 1,MCAS,MCAS Science,Science,10,Performance Level,Level,4 - P,Scaled Score,Scale,244.0,CPI,Scale,100.0
5525,373737,1302995,,10,April 1,MCAS,MCAS ELA,ELA,10,Performance Level,Level,5 - A,Scaled Score,Scale,264.0,CPI,Scale,100.0
5526,373737,1302995,,10,May 1,MCAS,MCAS Math,Math,10,Performance Level,Level,5 - A,Scaled Score,Scale,264.0,CPI,Scale,100.0
5527,373737,1302995,,10,June 1,MCAS,MCAS Science,Science,10,Performance Level,Level,5 - A,Scaled Score,Scale,266.0,CPI,Scale,100.0
5528,373737,1215433,,10,April 1,MCAS,MCAS ELA,ELA,10,Performance Level,Level,4 - P,Scaled Score,Scale,250.0,CPI,Scale,100.0
5529,373737,1215433,,10,May 1,MCAS,MCAS Math,Math,10,Performance Level,Level,4 - P,Scaled Score,Scale,248.0,CPI,Scale,100.0
5530,373737,1215433,,10,June 1,MCAS,MCAS Science,Science,10,Performance Level,Level,3 - NI,Scaled Score,Scale,224.0,CPI,Scale,50.0
5531,373737,1233434,,10,April 1,MCAS,MCAS ELA,ELA,10,Performance Level,Level,5 - A,Scaled Score,Scale,266.0,CPI,Scale,100.0
5532,373737,1233434,,10,May 1,MCAS,MCAS Math,Math,10,Performance Level,Level,5 - A,Scaled Score,Scale,260.0,CPI,Scale,100.0
5533,373737,1233434,,10,June 1,MCAS,MCAS Science,Science,10,Performance Level,Level,3 - NI,Scaled Score,Scale,236.0,CPI,Scale,75.0
5534,373737,1392121,,10,April 1,MCAS,MCAS ELA,ELA,10,Performance Level,Level,4 - P,Scaled Score,Scale,248.0,CPI,Scale,100.0
5535,373737,1392121,,10,May 1,MCAS,MCAS Math,Math,10,Performance Level,Level,3 - NI,Scaled Score,Scale,228.0,CPI,Scale,50.0
5536,373737,1392121,,10,June 1,MCAS,MCAS Science,Science,10,Performance Level,Level,3 - NI,Scaled Score,Scale,220.0,CPI,Scale,50.0
5537,373737,1465192,,10,April 1,MCAS,MCAS ELA,ELA,10,Performance Level,Level,4 - P,Scaled Score,Scale,250.0,CPI,Scale,100.0
5538,373737,1465192,,10,May 1,MCAS,MCAS Math,Math,10,Performance Level,Level,4 - P,Scaled Score,Scale,240.0,CPI,Scale,100.0
5539,373737,1465192,,10,June 1,MCAS,MCAS Science,Science,10,Performance Level,Level,4 - P,Scaled Score,Scale,240.0,CPI,Scale,100.0
5540,373737,1064640,,10,April 1,MCAS,MCAS ELA,ELA,10,Performance Level,Level,4 - P,Scaled Score,Scale,246.0,CPI,Scale,100.0
5541,373737,1064640,,10,May 1,MCAS,MCAS Math,Math,10,Performance Level,Level,4 - P,Scaled Score,Scale,258.0,CPI,Scale,100.0
5542,373737,1064640,,10,June 1,MCAS,MCAS Science,Science,10,Performance Level,Level,4 - P,Scaled Score,Scale,246.0,CPI,Scale,100.0
5543,373737,1622650,,10,April 1,MCAS,MCAS ELA,ELA,10,Performance Level,Level,5 - A,Scaled Score,Scale,270.0,CPI,Scale,100.0
5544,373737,1622650,,10,May 1,MCAS,MCAS Math,Math,10,Performance Level,Level,5 - A,Scaled Score,Scale,266.0,CPI,Scale,100.0
5545,373737,1622650,,10,June 1,MCAS,MCAS Science,Science,10,Performance Level,Level,5 - A,Scaled Score,Scale,264.0,CPI,Scale,100.0
5546,373737,1992776,,10,April 1,MCAS,MCAS ELA,ELA,10,Performance Level,Level,5 - A,Scaled Score,Scale,260.0,CPI,Scale,100.0
5547,373737,1992776,,10,May 1,MCAS,MCAS Math,Math,10,Performance Level,Level,4 - P,Scaled Score,Scale,240.0,CPI,Scale,100.0
5548,373737,1992776,,10,June 1,MCAS,MCAS Science,Science,10,Performance Level,Level,1 - F,Scaled Score,Scale,218.0,CPI,Scale,25.0
5549,373737,1889824,,10,April 1,MCAS,MCAS ELA,ELA,10,Performance Level,Level,4 - P,Scaled Score,Scale,242.0,CPI,Scale,100.0
5550,373737,1889824,,10,May 1,MCAS,MCAS Math,Math,10,Performance Level,Level,3 - NI,Scaled Score,Scale,232.0,CPI,Scale,75.0
5551,373737,1889824,,10,June 1,MCAS,MCAS Science,Science,10,Performance Level,Level,3 - NI,Scaled Score,Scale,230.0,CPI,Scale,75.0
5552,373737,1537203,,10,April 1,MCAS,MCAS ELA,ELA,10,Performance Level,Level,4 - P,Scaled Score,Scale,256.0,CPI,Scale,100.0
5553,373737,1537203,,10,May 1,MCAS,MCAS Math,Math,10,Performance Level,Level,1 - F,Scaled Score,Scale,218.0,CPI,Scale,25.0
5554,373737,1537203,,10,June 1,MCAS,MCAS Science,Science,10,Performance Level,Level,1 - F,Scaled Score,Scale,218.0,CPI,Scale,25.0
5555,373737,1731449,,10,April 1,MCAS,MCAS ELA,ELA,10,Performance Level,Level,5 - A,Scaled Score,Scale,272.0,CPI,Scale,100.0
5556,373737,1731449,,10,May 1,MCAS,MCAS Math,Math,10,Performance Level,Level,5 - A,Scaled Score,Scale,272.0,CPI,Scale,100.0
5557,373737,1731449,,10,June 1,MCAS,MCAS Science,Science,10,Performance Level,Level,5 - A,Scaled Score,Scale,272.0,CPI,Scale,100.0
5558,373737,1604555,,10,April 1,MCAS,MCAS ELA,ELA,10,Performance Level,Level,5 - A,Scaled Score,Scale,270.0,CPI,Scale,100.0
5559,373737,1604555,,10,May 1,MCAS,MCAS Math,Math,10,Performance Level,Level,4 - P,Scaled Score,Scale,258.0,CPI,Scale,100.0
5560,373737,1604555,,10,June 1,MCAS,MCAS Science,Science,10,Performance Level,Level,5 - A,Scaled Score,Scale,268.0,CPI,Scale,100.0
5561,373737,1751365,,10,April 1,MCAS,MCAS ELA,ELA,10,Performance Level,Level,4 - P,Scaled Score,Scale,248.0,CPI,Scale,100.0
5562,373737,1751365,,10,May 1,MCAS,MCAS Math,Math,10,Performance Level,Level,3 - NI,Scaled Score,Scale,220.0,CPI,Scale,50.0
5563,373737,1751365,,10,June 1,MCAS,MCAS Science,Science,10,Performance Level,Level,1 - F,Scaled Score,Scale,218.0,CPI,Scale,25.0
5564,373737,1697567,,10,April 1,MCAS,MCAS ELA,ELA,10,Performance Level,Level,5 - A,Scaled Score,Scale,268.0,CPI,Scale,100.0
